Unnamed: 0,tags,Allen_electronegativity_A,E_vacum_level_A,HSE_CBM_A,HSE_VBM_A,lattice_a_A,lattice_b_A,lattice_c_A,lattice_alpha_A,lattice_beta_A,lattice_gamma_A,Allen_electronegativity_B,E_vacum_level_B,HSE_CBM_B,HSE_VBM_B,lattice_a_B,lattice_b_B,lattice_c_B,lattice_alpha_B,lattice_beta_B,lattice_gamma_B,Type_Allen_010_diff_06,label
4486,AgBiO2-2dm-5528/CrBr3-2dm-3768,2.809461623,2.262,-2.5429,-5.637,3.518197,6.688125755,23.757028,89.78576118,90.0,90.0,2.485779505,2.094,-4.5442,-7.5648,6.359725,6.359709672,22.871559,90.0,90.0,120.0000655,,0
4487,AgBiO2-2dm-5528/Ba(BSe3)2-2dm-4261,2.809461623,2.262,-2.5429,-5.637,3.518197,6.688125755,23.757028,89.78576118,90.0,90.0,2.349290662,1.699,-2.6934,-5.8985,6.868421395,6.868421286,22.879151,90.0,90.0,112.1569886,,0
4488,AgBiO2-2dm-5528/PdCl2-2dm-3243,2.809461623,2.262,-2.5429,-5.637,3.518197,6.688125755,23.757028,89.78576118,90.0,90.0,2.366052932,2.159,-5.0744,-7.6098,3.890027,6.443039,22.605336,90.0,90.0,90.0,,0
4489,AgBiO2-2dm-5528/CuI-2dm-4972,2.809461623,2.262,-2.5429,-5.637,3.518197,6.688125755,23.757028,89.78576118,90.0,90.0,2.255386928,2.772,-2.2347,-5.5524,4.10572,4.105718789,23.8053,90.0,90.0,119.9999936,,0
4490,AgBiO2-2dm-5528/InBrO-2dm-3667,2.809461623,2.262,-2.5429,-5.637,3.518197,6.688125755,23.757028,89.78576118,90.0,90.0,2.958982969,3.052,-4.4898,-8.0557,3.663681,4.099551,25.978651,90.0,90.0,90.0,Z-scheme_A,1
4491,AgBiO2-2dm-5528/CuSe2Cl-2dm-4225,2.809461623,2.262,-2.5429,-5.637,3.518197,6.688125755,23.757028,89.78576118,90.0,90.0,2.446860134,1.775,-4.6957,-6.4044,4.911456,7.666946,22.779884,90.0,90.0,90.0,,0
4492,AgBiO2-2dm-5528/CrO2-2dm-5091,2.809461623,2.262,-2.5429,-5.637,3.518197,6.688125755,23.757028,89.78576118,90.0,90.0,3.071350867,2.308,-7.1761,-8.9033,2.885048,2.886912273,21.911947,90.0,90.0,60.0419876,,0
4493,AgBiO2-2dm-5528/IrCl3-2dm-3776,2.809461623,2.262,-2.5429,-5.637,3.518197,6.688125755,23.757028,89.78576118,90.0,90.0,2.536122635,2.173,-3.7088,-7.2785,6.092665794,6.092665625,22.53232,89.97743966,89.97743967,119.9797527,,0
4494,AgBiO2-2dm-5528/BiBr3-2dm-3868,2.809461623,2.262,-2.5429,-5.637,3.518197,6.688125755,23.757028,89.78576118,90.0,90.0,2.593917283,1.956,-4.1076,-7.8731,7.187321406,7.187321275,23.476143,90.0,90.0,120.0239718,,0
4495,AgBiO2-2dm-5528/AuI-2dm-3495,2.809461623,2.262,-2.5429,-5.637,3.518197,6.688125755,23.757028,89.78576118,90.0,90.0,2.117657398,2.63,-2.799,-5.4343,4.231040784,4.23103949,24.122461,90.0,90.0,92.7938274,,0
4496,AgBiO2-2dm-5528/CuBr-2dm-3517,2.809461623,2.262,-2.5429,-5.637,3.518197,6.688125755,23.757028,89.78576118,90.0,90.0,2.384526159,2.105,-3.2117,-6.3827,3.776496,3.776496,23.172597,90.0,90.0,90.0,,0
4497,AgBiO2-2dm-5528/Sr2CoO3-2dm-4427,2.809461623,2.262,-2.5429,-5.637,3.518197,6.688125755,23.757028,89.78576118,90.0,90.0,2.979105546,1.723,-1.2089,-2.6334,3.513043137,3.513041937,24.521056,90.0,90.0,90.58606222,,0
4498,AgBiO2-2dm-5528/NiCl2-2dm-3432,2.809461623,2.262,-2.5429,-5.637,3.518197,6.688125755,23.757028,89.78576118,90.0,90.0,2.52297708,2.362,-4.1104,-8.186,3.45607,3.456070139,22.61355,90.0,90.0,59.99998218,,0
4499,AgBiO2-2dm-5528/CuTe2I-2dm-5239,2.809461623,2.262,-2.5429,-5.637,3.518197,6.688125755,23.757028,89.78576118,90.0,90.0,2.218082663,2.359,-4.0904,-5.8118,5.167785,8.43491,23.272398,90.0,90.0,90.0,,0
4500,AgBiO2-2dm-5528/LiCuO2-2dm-4683,2.809461623,2.262,-2.5429,-5.637,3.518197,6.688125755,23.757028,89.78576118,90.0,90.0,3.069075982,1.292,-4.4811,-7.1514,2.67287,5.352604378,17.291106,83.97126687,90.0,90.0,Z-scheme_A,1
4501,AgBiO2-2dm-5528/Ba2TiO4-2dm-3897,2.809461623,2.262,-2.5429,-5.637,3.518197,6.688125755,23.757028,89.78576118,90.0,90.0,3.245545256,1.612,-0.6905,-3.9613,3.974519,3.974715,23.948238,90.0,90.0,90.0,,0
4502,AgBiO2-2dm-5528/AuBr-2dm-4576,2.809461623,2.262,-2.5429,-5.637,3.518197,6.688125755,23.757028,89.78576118,90.0,90.0,2.245673035,2.161,-3.0867,-6.0478,4.135507003,4.135507502,23.904198,90.0,90.0,91.07484666,,0
4503,AgBiO2-2dm-5528/VCl2-2dm-3622,2.809461623,2.262,-2.5429,-5.637,3.518197,6.688125755,23.757028,89.78576118,90.0,90.0,2.580497711,2.143,-2.3479,-6.4193,3.628011,3.628011517,22.665532,90.0,90.0,120.0000044,,0
4504,AgBiO2-2dm-5528/CuTe2Cl-2dm-4859,2.809461623,2.262,-2.5429,-5.637,3.518197,6.688125755,23.757028,89.78576118,90.0,90.0,2.344125054,2.198,-4.0744,-5.8081,5.062996,8.046545,22.718205,90.0,90.0,90.0,,0
4505,AgBiO2-2dm-5528/Ge(BiTe2)2-2dm-3740,2.809461623,2.262,-2.5429,-5.637,3.518197,6.688125755,23.757028,89.78576118,90.0,90.0,2.026292194,4.645,-4.198,-5.6093,4.350099,4.350099906,31.059379,90.0,90.0,59.99999928,,0
4506,AgBiO2-2dm-5528/RhCl3-2dm-3458,2.809461623,2.262,-2.5429,-5.637,3.518197,6.688125755,23.757028,89.78576118,90.0,90.0,2.496633356,2.292,-4.4997,-7.8593,6.015734,6.015734606,22.631236,90.0,90.0,119.9967519,,0
4507,AgBiO2-2dm-5528/HfS2-2dm-3834,2.809461623,2.262,-2.5429,-5.637,3.518197,6.688125755,23.757028,89.78576118,90.0,90.0,2.349473434,2.466,-4.9353,-7.0287,3.633023,3.633023068,22.876961,90.0,90.0,120.0000085,,0
4508,AgBiO2-2dm-5528/HfSe2-2dm-4424,2.809461623,2.262,-2.5429,-5.637,3.518197,6.688125755,23.757028,89.78576118,90.0,90.0,2.199626883,2.322,-4.8264,-6.1361,3.76173,3.761729357,23.150314,90.0,90.0,120.0000057,,0
4509,AgBiO2-2dm-5528/HfTeSe4-2dm-4723,2.809461623,2.262,-2.5429,-5.637,3.518197,6.688125755,23.757028,89.78576118,90.0,90.0,2.276049764,2.42,-4.4662,-6.0393,3.852288,6.821241,23.212728,90.0,90.0,90.0,,0
4510,AgBiO2-2dm-5528/GeI2-2dm-3455,2.809461623,2.262,-2.5429,-5.637,3.518197,6.688125755,23.757028,89.78576118,90.0,90.0,2.11217965,2.576,-3.5736,-6.4057,4.254018,4.254017432,23.515878,90.0,90.0,120.0000044,,0
4511,AgBiO2-2dm-5528/ZnI2-2dm-4716,2.809461623,2.262,-2.5429,-5.637,3.518197,6.688125755,23.757028,89.78576118,90.0,90.0,2.486573761,2.518,-3.7767,-6.7691,4.06823,4.068230408,23.259981,90.0,90.0,60.00000332,,0
4512,AgBiO2-2dm-5528/MnI2-2dm-3728,2.809461623,2.262,-2.5429,-5.637,3.518197,6.688125755,23.757028,89.78576118,90.0,90.0,2.174099874,2.701,-3.2073,-6.4739,4.126205,4.126204446,23.320309,90.0,90.0,119.9999964,,0
4513,AgBiO2-2dm-5528/InSe-2dm-3459,2.809461623,2.262,-2.5429,-5.637,3.518197,6.688125755,23.757028,89.78576118,90.0,90.0,2.234884542,3.053,-4.2254,-6.5347,4.050943,4.050942276,25.367028,90.0,90.0,60.00000225,,0
4514,AgBiO2-2dm-5528/GaSe-2dm-3530,2.809461623,2.262,-2.5429,-5.637,3.518197,6.688125755,23.757028,89.78576118,90.0,90.0,2.325840722,2.697,-3.5923,-6.395,3.796432,3.796431519,24.817544,90.0,90.0,120.0000042,,0
4515,AgBiO2-2dm-5528/CdI2-2dm-4402,2.809461623,2.262,-2.5429,-5.637,3.518197,6.688125755,23.757028,89.78576118,90.0,90.0,2.514443922,2.391,-3.59,-7.0197,4.273197,4.273196614,23.435848,90.0,90.0,119.9999952,,0
4516,AgBiO2-2dm-5528/InSe-2dm-3756,2.809461623,2.262,-2.5429,-5.637,3.518197,6.688125755,23.757028,89.78576118,90.0,90.0,2.238376122,2.038,-3.459,-6.0608,4.080876,5.948440618,23.241441,90.0,90.0,69.93898404,,0
